Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
2,19-09-18 6:48,19-09-18 7:17,41.940636,-88.150421,41.940636,-88.150421,0,Accident on County Hwy-11 Army Trail Rd at County Farm Rd.,1398,N County Farm Rd,L,Carol Stream,Dupage,IL,60188-9303,US,US/Central,KDPA,19-09-18 6:52,64.9,nan,87,30.01,9,East,5.8,nan,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,14-05-18 16:49,14-05-18 22:49,38.85789,-94.529,38.85779,-94.52725,0.094,At US-71 - Accident. Right lane blocked.,nan,E State Route 150,R,Kansas City,Jackson,MO,64147,US,US/Central,KOJC,14-05-18 16:53,80.1,nan,67,29.8,10,Calm,nan,nan,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,03-01-20 14:17,03-01-20 18:17,45.51564,-122.69931,45.51561,-122.6956,0.18,At I-405/Market St - Accident.,nan,Sunset Hwy E,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,03-01-20 13:53,52,52,66,29.94,10,E,10,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,29-02-20 11:56,29-02-20 12:33,34.06648,-117.45802,34.06648,-117.45808,0.003,At Citrus Ave/Exit 63 - Accident.,nan,I-10 E,R,Fontana,San Bernardino,CA,92337,US,US/Pacific,KONT,29-02-20 11:53,66,66,24,29.03,10,CALM,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,24-04-20 8:43,24-04-20 9:17,40.686638,-73.614708,40.686638,-73.614708,0,Accident on Southern Pkwy Westbound at Exits 20N 20S Grand Ave.,484,Baldwin Rd,R,Hempstead,Nassau,NY,11550-7639,US,US/Eastern,KJFK,24-04-20 8:51,45,38,100,29.69,10,NNE,16,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,28-12-20 8:43,28-12-20 9:13,33.538269,-112.065071,33.538269,-112.065071,0,Accident on 7th St at Glendale Ave.,6896,N 7th St,L,Phoenix,Maricopa,AZ,85014-1014,US,US/Mountain,KPHX,28-12-20 8:51,54,54,45,28.64,10,SSW,5,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
2,07-10-19 8:29,07-10-19 8:59,29.865746,-95.48687,29.865746,-95.48687,0,Accident on Bingle Rd at Houston Rosslyn Rd.,nan,N Houston Rosslyn Rd,R,Houston,Harris,TX,77088,US,US/Central,KIAH,07-10-19 8:53,77,77,88,29.91,10,NNW,6,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
3,20-01-19 15:26,20-01-19 15:56,42.391438,-83.006332,42.391438,-83.006332,0,Right lane blocked due to accident on I-94 Westbound at Exit 219 M-3 Gratiot Ave.,nan,Edsel Ford Fwy E,R,Detroit,Wayne,MI,48213,US,US/Eastern,KDET,20-01-19 15:53,10,-5.2,51,30.19,10,NNW,12.7,nan,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,16-10-20 16:34,16-10-20 17:19,37.504349,-77.087021,37.504349,-77.087021,0,Right lane closed due to accident on I-64 Westbound before VA-106 Emmaus Church Rd.,nan,I-64 E,R,Providence Forge,New Kent,VA,23140,US,US/Eastern,KRIC,16-10-20 16:54,55,55,86,29.91,10,NE,14,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,27-09-19 6:56,27-09-19 7:47,37.774523,-122.232196,37.774523,-122.232196,0,At Fruitvale Ave - Accident.,nan,I-880 S,R,Oakland,Alameda,CA,94601,US,US/Pacific,KOAK,27-09-19 6:53,64,64,80,29.94,6,W,16,0,Haze,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
4,28-06-19 19:25,28-06-19 19:53,25.6906,-80.31722,25.68844,-80.3174,0.15,Ramp closed to SR-94/88th St/Kendall Dr - Road closed due to accident.,nan,Palmetto Expy S,R,Miami,Miami-Dade,FL,33143,US,US/Eastern,KMIA,28-06-19 19:53,81,81,74,30.05,10,E,6,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,31-07-18 14:22,31-07-18 20:22,33.63176,-84.39544,33.63257,-84.40743,0.692,At I-75 - Accident.,nan,GA-407 W,R,Atlanta,Clayton,GA,30354,US,US/Eastern,KATL,31-07-18 14:26,87.1,nan,61,29.98,10,SSE,10.4,nan,Thunderstorm,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,03-04-20 22:11,03-04-20 23:10,26.047853,-80.162415,26.047853,-80.162415,0,2 right lane blocked due to accident on I-95 Southbound at Exit 22 FL-848 Stirling Rd.,nan,I-95 S,R,Hollywood,Broward,FL,33020,US,US/Eastern,KFLL,03-04-20 21:53,74,74,62,29.95,10,SE,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
2,06-04-20 10:05,06-04-20 12:16,34.141606,-117.317406,34.141606,-117.317406,0,At Mt Vernon Ave - Accident.,nan,Barstow Fwy N,R,San Bernardino,San Bernardino,CA,92405,US,US/Pacific,KSBD,06-04-20 9:52,55,55,77,28.68,5,ESE,15,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,24-04-20 19:11,24-04-20 20:01,41.85697,-88.16093,41.85697,-88.16093,0,At Garys Mill Rd - Accident.,nan,28W2 Roosevelt Rd,R,Winfield,DuPage,IL,60190,US,US/Central,KDPA,24-04-20 18:52,47,43,71,29.1,8,E,8,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
4,24-03-19 9:06,24-03-19 9:35,33.46654,-111.92623,33.48036,-111.92614,0.955,Closed at Drinkwater Blvd South - Road closed due to accident.,1674,N Scottsdale Rd,L,Scottsdale,Maricopa,AZ,85257,US,US/Mountain,KPHX,24-03-19 8:51,62.1,nan,44,30.08,10,East,6.9,nan,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,28-11-16 11:56,28-11-16 12:35,33.987499,-118.13755,nan,nan,0.01,#1 lane blocked and left hand shoulder blocked due to accident on I-5 Southbound before Garfield Ave.,nan,Garfield Ave,R,Los Angeles,Los Angeles,CA,90040,US,US/Pacific,KCQT,28-11-16 11:47,62.1,nan,48,29.92,10,Calm,nan,nan,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,13-09-19 11:25,13-09-19 11:56,33.875577,-117.26518,33.875577,-117.26518,0,At Van Buren Blvd - Accident.,nan,Escondido Fwy N,R,March Air Reserve Base,Riverside,CA,92518,US,US/Pacific,KRIV,13-09-19 10:58,95,95,15,28.37,8,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,07-01-20 7:04,07-01-20 7:50,40.78344,-111.911903,nan,nan,0.409999996,Exit ramp from I-15 Southbound at Exit 309 to W 600 N Eastbound shoulder blocked due to accident.,nan,I-15 S,R,Salt Lake City,Salt Lake,UT,84116,US,US/Mountain,KSLC,07-01-20 6:54,34,27,52,26,10,SE,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
2,10-04-19 17:48,10-04-19 20:29,43.002411,-83.733383,43.002411,-83.733383,0,Accident on Ballenger Hwy at M-21 Corunna Rd.,3600,Corunna Rd,R,Flint,Genesee,MI,48532-3829,US,US/Eastern,KFNT,10-04-19 17:53,44,38,51,29.23,10,E,13,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
2,10-08-17 17:48,10-08-17 18:32,45.426247,-122.751671,45.426247,-122.751671,0,Center lane closed due to accident on OR-217 Beaverton Tigard Fwy Southbound near Exit 7 72nd Ave.,nan,SW 72nd Ave,R,Portland,Washington,OR,97223,US,US/Pacific,KHIO,10-08-17 17:53,91.9,nan,39,29.83,6,East,4.6,nan,Smoke,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
4,26-02-19 6:16,26-02-19 6:46,37.13421,-104.521453,36.99384,-104.48058,9.957,Closed between Van Buren St/Exit 13 and Colorado/New Mexico State Line - Road closed due to accident.,nan,I-25 S,R,Trinidad,Las Animas,CO,81082,US,US/Mountain,KTAD,26-02-19 5:54,18,6.1,88,29.99,10,NW,10.4,nan,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
2,15-11-19 8:17,15-11-19 9:30,41.24464,-112.00859,41.24467,-112.0124,0.198,At I-15/I-84 - Accident. Lane blocked.,1172,W 12th St,L,Ogden,Weber,UT,84404,US,US/Mountain,KOGD,15-11-19 7:53,37,37,65,25.61,10,CALM,0,0,Partly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,20-10-18 11:46,20-10-18 12:31,34.028397,-118.172234,34.028397,-118.172234,0,Connecting roadway blocked due to accident on I-710 Southbound at Exits 20A 20B 20C CA-60.,nan,I-710 S,R,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,20-10-18 11:47,88,nan,18,29.92,10,Calm,nan,nan,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,20-06-19 16:45,20-06-19 19:33,30.41151,-91.0355,30.41151,-91.0355,0,Accident on Stumberg Ln at Tollway Ave.,4496,Stumberg Ln,R,Baton Rouge,East Baton Rouge,LA,70816-6524,US,US/Central,KBTR,20-06-19 16:53,91,91,63,29.81,10,SW,15,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,28-08-17 8:13,28-08-17 14:13,38.65176,-77.28192,38.66284,-77.2757,0.836,At VA-3000/Exit 158 - Accident.,nan,I-95 N,R,Woodbridge,Prince William,VA,22191,US,US/Eastern,KDAA,28-08-17 7:58,62.4,nan,89,30.23,10,Calm,nan,nan,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,27-11-20 22:03,27-11-20 23:36,38.91867,-76.947973,38.91866,-76.938113,0.53,Incident on US-50 EB near MD-295 Drive with caution.,nan,New York Ave E,R,Washington,District of Columbia,DC,20002,US,US/Eastern,KDCA,27-11-20 21:52,57,57,64,30.01,10,CALM,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
2,10-04-17 7:37,10-04-17 8:07,42.40509,-83.127396,nan,nan,0.01,Left hand shoulder blocked and left lane blocked due to accident on M-10 Southbound at Exit 8 Linwood St.,nan,Linwood St,R,Detroit,Wayne,MI,48238,US,US/Eastern,KDET,10-04-17 7:53,61,nan,52,29.85,10,SSW,11.5,nan,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,03-12-20 15:56,03-12-20 16:25,41.787254,-72.657906,41.787254,-72.657906,0,Right lane blocked due to accident on I-91 Southbound at Exit 33 Jennings Rd.,nan,I-91 S,R,Hartford,Hartford,CT,6120,US,US/Eastern,KHFD,03-12-20 15:53,49,47,38,30.08,10,SSW,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,07-05-18 10:14,07-05-18 10:43,33.806465,-84.380821,33.806465,-84.380821,0,One lane blocked due to accident on I-85 Northbound at GA-13.,nan,GA-403 N,R,Atlanta,Fulton,GA,30309,US,US/Eastern,KFTY,07-05-18 9:53,72,nan,55,30.04,10,WNW,5.8,nan,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,19-09-18 8:03,19-09-18 12:03,44.62216,-123.721253,44.62216,-123.721047,0.01,At OR-180/Eddyville-Blodgett Hwy - Accident.,25009,Highway 20,R,Eddyville,Lincoln,OR,97343,US,US/Pacific,KONP,19-09-18 7:55,44.6,42.2,100,30.16,10,East,4.6,nan,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,23-03-20 7:59,23-03-20 8:30,33.369434,-117.550589,33.369434,-117.550589,0,At Basilone Rd/Exit 71 - Accident.,nan,I-5 N,R,San Clemente,San Diego,CA,92672,US,US/Pacific,KNXF,23-03-20 7:55,56,56,80,30.03,7,SW,6,0.14,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,11-08-18 13:15,11-08-18 13:44,42.973419,-83.73217,42.973419,-83.73217,0,Accident on Bristol Rd Westbound at Torrey Rd.,2568,W Bristol Rd,R,Flint,Genesee,MI,48507-3233,US,US/Eastern,KFNT,11-08-18 12:53,81,nan,50,30.01,10,West,4.6,nan,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,08-11-19 15:15,08-11-19 16:08,36.747859,-119.822886,36.747859,-119.822886,0,At Belmont Ave - Accident.,nan,CA-99 N,R,Fresno,Fresno,CA,93706,US,US/Pacific,KFAT,08-11-19 14:53,80,80,22,29.75,5,WNW,3,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,02-12-20 17:02,02-12-20 19:44,45.441881,-84.750623,45.441836,-84.77139,1.007,Incident on M-68 WB near MISSION RD Road closed. Take alternate route.,7524,Mission Rd,L,Alanson,Emmet,MI,49706-9777,US,US/Eastern,KMGN,02-12-20 16:55,39,32,70,29.32,10,WSW,9,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
2,30-01-20 18:35,30-01-20 21:48,46.35198,-94.07303,46.35198,-94.07303,0,At CR-23/CR-159 N/Woodrow Rd NE - Accident.,13502,Trails End Ln,R,Brainerd,Crow Wing,MN,56401-5463,US,US/Central,KBRD,30-01-20 18:53,22,22,78,28.74,4,CALM,0,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
3,23-11-17 11:38,23-11-17 12:07,32.946987,-117.106567,32.946987,-117.106567,0,Accident on I-15 Northbound at Exit 18 Rancho Penasquitos Blvd.,nan,I-15 N,R,San Diego,San Diego,CA,92128,US,US/Pacific,KRNM,23-11-17 11:53,90,nan,nan,30.01,10,WNW,5.8,nan,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,25:00.0,16:13.0,41.803482,-72.545717,41.792912,-72.561697,1.1,Motor Vehicle Accident (Overturned Motor Vehicle) on I-84 Westbound between Exits 60 and 61. The right lane is closed. Reported Sunday October 4 at 2:25 pm.,nan,I-84 W,R,Manchester,Hartford,CT,6042,US,US/Eastern,KHFD,04-10-20 21:53,55,55,69,30.13,10,ESE,5,0,Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
2,14-05-20 16:09,14-05-20 16:41,33.1941,-117.25866,33.19457,-117.25422,0.259,At Vista Village Dr - Accident.,nan,CA-78 E,R,Vista,San Diego,CA,92081,US,US/Pacific,KCRQ,14-05-20 15:53,66,66,68,29.62,10,WSW,10,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3,22-03-18 17:13,22-03-18 18:12,44.952202,-93.069771,44.952202,-93.069771,0,Accident on I-94 Eastbound at Exit 243 US-61 Mounds Blvd.,nan,US-10 E,R,Saint Paul,Ramsey,MN,55106,US,US/Central,KSTP,22-03-18 16:53,41,37.1,53,30.36,10,North,5.8,nan,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
2,20-06-17 3:55,20-06-17 9:55,36.81018,-76.28021,36.81708,-76.28154,0.482,At VA-337/Poindexter St/Exit 4 - Accident.,nan,I-464 N,R,Chesapeake,Chesapeake,VA,23324,US,US/Eastern,KORF,20-06-17 3:51,73.9,nan,91,29.97,8,SW,11.5,0.15,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
